,Date,Address
,2016-03-22,907 WOODLANE Road APT 16A
,2016-03-22,111 SUNSET Road RM133
,2016-03-22,275 GREEN Street APT 5Q2
,2016-03-22,1900 MT HOLLY Road SUITE C
,2016-03-22,1410 KENNYS COVE
,2016-03-24,651 HIGH Street FLOOR 1
,2016-03-26,2919 RT206
,2016-03-26,2919 RT206
,2016-03-27,2835 RT206
,2016-03-28,45 FAWNHOLLOW Road
,2016-03-29,230 VANSCIVER Parkway
,2016-03-30,937 JACKSONVILLE MT HOLLY Road MOUNT HOLLY RO
,2016-03-30,651 HIGH Street FLOOR 1
,2016-03-30,2919 RT206
,2016-03-31,2919 RT206 STR 503-507
,2016-04-01,2305 RANCOCAS Road UNKN
,2016-04-01,45 FAWNHOLLOW Road
,2016-04-04,651 HIGH Street FLOOR 1
,2016-04-06,115 SUNSET Road RM 6 BED 2
,2016-04-07,1113 HOSPITAL Drive SUITE 203
,2016-04-08,4 STONE VILLA
,2016-04-08,2919 RT206
,2016-04-09,2305 RANCOCAS Road UNKN
,2016-04-09,5020 US-295
,2016-04-10,2741 RT206
,2016-04-10,5050 US-295
,2016-04-10,5120 US-295
,2016-04-10,902 JACKSONVILLE Road RM 129 N
,2016-04-11,36 FAWNHOLLOW Road
,2016-04-11,29 LAGORCE Boulevard
,2016-04-12,1020 WOODLANE Road APT 77
,2016-04-12,27 BISBEE Drive
,2016-04-12,1701 SALEM Road APT I10
,2016-04-13,651 HIGH Street FLOOR 1
,2016-04-14,255 E PEARL Street APT 126
,2016-04-14,45 FAWNHOLLOW Road
,2016-04-15,45 FAWNHOLLOW Road
,2016-04-15,1701 SALEM Road APT O5
,2016-04-16,138 RIVERBANK
,2016-04-17,85 CEDAR LANE EXT
,2016-04-17,45 FAWNHOLLOW Road
,2016-04-17,45 FAWNHOLLOW Road
,2016-04-18,45 FAWNHOLLOW Road
,2016-04-18,2501 MT HOLLY Road STORE 158
,2016-04-18,1105 SUNSET Road SUITE G
,2016-04-19,120 ELM Street APT SH8
,2016-04-19,RT206
,2016-04-22,2835 RT206
,2016-04-23,45 FAWNHOLLOW Road
,2016-04-23,2107 STONEHENGE Court APT 2107
,2016-04-24,275 GREEN Street UNIT 4G6
,2016-04-24,45 FAWNHOLLOW Road
,2016-04-24,114 RIVERBANK
,2016-04-25,147 CREEKSIDE Way
,2016-04-25,1294 COOPER Street APT C6
,2016-04-26,4700 US-295
,2016-04-26,2835 RT206
,2016-04-27,6 TERRI Lane SUITE 900
,2016-04-27,2305 RANCOCAS Road UNKN
,2016-04-27,651 HIGH Street FLOOR 1
,2016-04-28,275 GREEN Street APT 5Q5
,2016-04-28,RT206
,2016-04-29,275 GREEN Street UNIT 5Q2
,2016-04-29,255 E PEARL Street APT 105
,2016-04-29,1900 MT HOLLY Road SUITE 4C
,2016-04-30,3 FLORENCE TOLLGATE Place UNIT 2
,2016-05-01,1475 MT HOLLY Road APT N5
,2016-05-03,3 TERRI Lane SUITE 1
,2016-05-04,5100 US-295
,2016-05-06,9 CAMPUS Drive SUITE A
,2016-05-07,5040 US-295
,2016-05-07,51 RIDGWAY Drive
,2016-05-08,115 SUNSET Road RM 25A
,2016-05-08,1701 SALEM Road APT D11
,2016-05-09,600 CUMBERLAND Street
,2016-05-09,120 ELM Street APT AQ4
,2016-05-09,1475 MT HOLLY Road APT A5
,2016-05-09,1701 SALEM Road D2
,2016-05-10,2919 RT206
,2016-05-11,45 FAWNHOLLOW Road
,2016-05-11,1702 MT HOLLY Road UNIT 1
,2016-05-12,651 JFK Way
,2016-05-12,2305 RANCOCAS Road RM 108A
,2016-05-12,1210 N US-130 APT 318
,2016-05-12,120 ELM Street APT X7
,2016-05-13,45 FAWNHOLLOW Road
,2016-05-13,255 E PEARL Street APT 324
,2016-05-14,120 ELM Street APT SH-18
,2016-05-14,92 BARNWELL Drive
,2016-05-19,6 TERRI Lane SUITE 900
,2016-05-20,2700 RT206
,2016-05-22,4900 US-295
,2016-05-22,2919 RT206
,2016-05-22,4494 S US-130 SUITE 2
,2016-05-23,651 HIGH Street FLOOR 1
,2016-05-23,2693 RT206
,2016-05-24,RT206
,2016-05-24,1701 SALEM Road APT D8
,2016-05-24,4355 S US-130 UNIT C
,2016-05-25,1900 MT HOLLY Road SUITE 1B
,2016-05-26,101 CEDAR LANE EXT
,2016-05-28,1005 ARMISTICE Road
,2016-05-28,120 ELM Street U2
,2016-05-30,275 GREEN Street 5M2
,2016-06-02,1900 MT HOLLY Road SUITE 1B
,2016-06-03,2200 MT HOLLY Road SUITE 7
,2016-06-03,1 STONE VILLA
,2016-06-03,4 STONE VILLA
,2016-06-04,2679 RT206
,2016-06-04,2835 RT206
,2016-06-05,1475 MT HOLLY Road APT O2
,2016-06-06,4680 US-295
,2016-06-06,255 E PEARL Street APT 124
,2016-06-07,2000 BURLINGTON Bypass 303
,2016-06-09,651 HIGH Street FLOOR 1
,2016-06-09,2919 RT206
,2016-06-09,1 JERRYS Drive
,2016-06-13,2919 RT206
,2016-06-14,6 TERRI Lane SUITE 200
,2016-06-14,4750 US-295
,2016-06-16,6 TERRI Lane SUITE 900
,2016-06-17,5010 US-295
,2016-06-17,227 MCNEAL Street
,2016-06-18,26 VAUGHN Way
,2016-06-19,2305 RANCOCAS Road UNKN
,2016-06-19,1020 WOODLANE Road APT 103
,2016-06-19,2919 RT206
,2016-06-22,1113 HOSPITAL Drive SUITE 106
,2016-06-23,147 LAGORCE Boulevard
,2016-06-25,120 ELM Street APT AQ5
,2016-06-26,2919 RT206
,2016-06-27,4710 US-295
,2016-06-27,4750 US-295
,2016-06-28,1020 WOODLANE Road APT 234
,2016-06-28,519 YORK Street APT 1
,2016-06-28,907 WOODLANE Road APT 82B
,2016-06-28,VANSCIVER Parkway
,2016-06-29,42 LAGORCE Boulevard
,2016-06-29,1900 MT HOLLY Road SUITE B
,2016-07-02,RT670 (JACKSONVILLE JOBSTOWN Road)
,2016-07-03,RT206
,2016-07-03,2000 BURLINGTON Bypass APT89
,2016-07-04,4820 US-295
,2016-07-05,6 TERRI Lane SUITE 900
,2016-07-05,651 HIGH Street FLOOR 1
,2016-07-06,4910 US-295
,2016-07-06,1900 MT HOLLY Road SUITE 1B
,2016-07-06,45 FAWNHOLLOW Road
,2016-07-06,937 JACKSONVILLE MT HOLLY Road MOUNT HOLLY RO
,2016-07-08,651 HIGH Street FLOOR 1
,2016-07-09,429 JFK Way
,2016-07-10,303 VANSCIVER Street
,2016-07-11,1701 SALEM Road APT H 12
,2016-07-11,9th Street
,2016-07-12,902 JACKSONVILLE Road N 315
,2016-07-12,2835 RT206
,2016-07-13,2000 BURLINGTON Bypass APT 247
,2016-07-15,27 BISBEE Drive
,2016-07-15,1475 MT HOLLY Road HOLL
,2016-07-15,5070 US-295
,2016-07-16,2835 RT206
,2016-07-17,2919 RT206
,2016-07-18,120 ELM Street AQ5
,2016-07-19,45 FAWNHOLLOW Road
,2016-07-20,902 JACKSONVILLE Road RM SOUTH 218
,2016-07-24,400 HIGH Street APT 207
,2016-07-24,27 BISBEE Drive
,2016-07-24,1421 KENNYS COVE
,2016-07-25,1900 MT HOLLY Road SUITE 2B
,2016-07-27,1824 N US-130 RM 131
,2016-07-28,2919 RT206
,2016-07-29,33 STONE VILLA
,2016-07-30,4700 US-295
,2016-07-31,1714 HANCOCK Lane APT 141
,2016-07-31,1020 WOODLANE Road APT 59
,2016-08-01,4313 S US-130 UNIT B7
,2016-08-01,2305 RANCOCAS Road RM 220A
,2016-08-01,218 POWDERMILL Lane
,2016-08-02,LAGORCE Boulevard
,2016-08-04,4670 US-295
,2016-08-04,27 BISBEE Drive
,2016-08-04,120 ELM Street H7
,2016-08-04,333 E PEARL Street UNIT 7
,2016-08-05,2305 RANCOCAS Road UNKN
,2016-08-06,45 FAWNHOLLOW Road
,2016-08-06,175 CREEKSIDE Way
,2016-08-06,175 CREEKSIDE Way
,2016-08-07,2919 RT206 STR 302
,2016-08-07,2919 RT206
,2016-08-09,235 ELLIS Street FLR 1
,2016-08-10,120 ELM Street APT SH49
,2016-08-11,2919 RT206
,2016-08-14,114 RIVERBANK
,2016-08-17,VANSCIVER Parkway
,2016-08-18,738 E BROAD Street FLR 2
,2016-08-19,2919 RT206
,2016-08-20,4 STONE VILLA
,2016-08-21,2919 RT206
,2016-08-21,2919 RT206 STR A
,2016-08-23,230 VANSCIVER Parkway
,2016-08-27,1508 N US-130 APT A
,2016-08-27,120 ELM Street APT AF5
,2016-08-27,4700 US-295
,2016-08-28,303 VANSCIVER Street
,2016-08-31,14 W UNION Street APT 2
,2016-08-31,200 E BROAD Street APT 5
,2016-09-01,1005 ARMISTICE Road
,2016-09-01,429 JFK Way
,2016-09-02,111 SUNSET Road RM 105
,2016-09-05,255 E PEARL Street APT 203
,2016-09-06,211 E BROAD Street APT 3C
,2016-09-06,1306 COOPER Street 57
,2016-09-07,142 CREEKSIDE Way
,2016-09-07,218 POWDERMILL Lane
,2016-09-08,11 FLORENCE TOLLGATE Place UNIT 7
,2016-09-09,600 CUMBERLAND Street
,2016-09-09,907 WOODLANE Road APT 18A
,2016-09-09,907 WOODLANE Road 18A
,2016-09-11,255 E PEARL Street APT 501
,2016-09-11,4780 US-295
,2016-09-11,2919 RT206
,2016-09-12,651 JFK Way
,2016-09-12,4390 N US-130 SUITE C
,2016-09-13,415 NJ TURNPIKE ACCESS Road
,2016-09-16,902 JACKSONVILLE Road RM S213
,2016-09-16,2919 RT206
,2016-09-17,415 NJ TURNPIKE ACCESS Road
,2016-09-17,2835 RT206
,2016-09-17,27 BISBEE Drive
,2016-09-17,2919 RT206
,2016-09-17,138 RIVERBANK
,2016-09-19,176 CREEKSIDE Way
,2016-09-19,902 JACKSONVILLE Road RM 130 WEST
,2016-09-20,1000 SALEM Road SUITE B
,2016-09-20,338 E UNION Street FLR 1
,2016-09-22,1005 ARMISTICE Road
,2016-09-22,2919 RT206
,2016-09-22,2741 RT206
,2016-09-24,429 JFK Way
,2016-09-25,2919 RT206
,2016-09-25,1105 SUNSET Road UNIT J
,2016-09-26,4900 US-295 NB
,2016-09-26,1824 N US-130 RM 300
,2016-09-26,902 JACKSONVILLE Road APT 1417
,2016-09-26,27 BISBEE Drive
,2016-09-27,120 ELM Street APT SH38
,2016-09-28,350 RIVERBANK
,2016-09-28,120 ELM Street APT Q06
,2016-09-29,33 STONE VILLA
,2016-09-30,2305 RANCOCAS Road UNKN
,2016-09-30,33 STONE VILLA
,2016-09-30,RT541 (MT HOLLY Road)
,2016-10-01,VANSCIVER Parkway
,2016-10-03,2305 RANCOCAS Road UNKN
,2016-10-04,300 ALDEN Avenue APT 2
,2016-10-06,45 FAWNHOLLOW Road
,2016-10-07,2919 RT206
,2016-10-08,149 CREEKSIDE Way
,2016-10-08,38 RIDGWAY Drive
,2016-10-08,10 RIVERBANK
,2016-10-09,506 ELBOW Lane FLR 1
,2016-10-10,2678 RT206
,2016-10-11,2835 RT206
,2016-10-12,6 TERRI Lane SUITE 900
,2016-10-12,4900 US-295
,2016-10-12,870 N US-130 APT A6
,2016-10-12,902 JACKSONVILLE Road RM NORTH 233
,2016-10-13,2915 RT206
,2016-10-13,2919 RT206
,2016-10-13,120 ELM Street SH26
,2016-10-13,104 WARREN Street APT 2
,2016-10-13,902 JACKSONVILLE Road N 122
,2016-10-16,2835 RT206
,2016-10-17,42 FAWNHOLLOW Road
,2016-10-18,4 STONE VILLA
,2016-10-19,92 BARNWELL Drive
,2016-10-19,27 BISBEE Drive
,2016-10-19,1210 N US-130 APT 319
,2016-10-20,651 HIGH Street FLOOR 1
,2016-10-22,111 SUNSET Road ROOM 134
,2016-10-22,4710 US-295
,2016-10-22,20 BISBEE Drive
,2016-10-23,1701 SALEM Road APT D02
,2016-10-24,255 E PEARL Street APT 311
,2016-10-24,114 RIVERBANK
,2016-10-25,218 POWDERMILL Lane
,2016-10-26,320 CONROW Street APT 149
,2016-10-26,2305 RANCOCAS Road UNKN
,2016-10-26,902 JACKSONVILLE Road S111
,2016-10-26,163 CREEKSIDE Way
,2016-10-27,651 HIGH Street FLOOR 1
,2016-10-27,2000 BURLINGTON Bypass 303
,2016-10-28,5150 US-295
,2016-10-29,2678 RT206
,2016-10-29,1475 MT HOLLY Road F1
,2016-10-30,2919 RT206
,2016-10-30,26 STONE VILLA
,2016-10-31,1020 WOODLANE Road 104
,2016-11-01,2678 RT206
,2016-11-01,1900 MT HOLLY Road SUITE 1B
,2016-11-01,2006 SALEM Road RM 1
,2016-11-02,16 JERRYS Drive
,2016-11-02,121 COACHMANS Drive
,2016-11-03,215 E FEDERAL Street FLR 1
,2016-11-03,342 E UNION Street FLR 1
,2016-11-04,651 HIGH Street FLOOR 1
,2016-11-04,LAGORCE Boulevard
,2016-11-05,3 VAUGHN Way
,2016-11-07,1824 N US-130 RM 114
,2016-11-08,1020 WOODLANE Road APT59
,2016-11-08,4364 N US-130 SUITE G
,2016-11-10,2919 RT206
,2016-11-10,43 FAWNHOLLOW Road
,2016-11-11,1294 COOPER Street A14
,2016-11-12,27 BISBEE Drive
,2016-11-12,2305 RANCOCAS Road UNKN
,2016-11-15,1020 WOODLANE Road APT 59
,2016-11-16,43 STEEPLE CHASE Boulevard
,2016-11-17,2919 RT206
,2016-11-18,255 E PEARL Street APT 210
,2016-11-19,255 E PEARL Street APT 503
,2016-11-19,4910 US-295
,2016-11-20,1508 MT HOLLY Road APT 114
,2016-11-21,45 FAWNHOLLOW Road
,2016-11-21,350 RIVERBANK
,2016-11-24,27 BISBEE Drive
,2016-11-24,43 FAWNHOLLOW Road
,2016-11-24,1824 N US-130 RM 131
,2016-11-27,2919 RT206
,2016-11-28,2501 MT HOLLY Road STORE 175
,2016-11-28,115 SUNSET Road SUITE 111
,2016-11-29,4740 US-295
,2016-11-29,120 ELM Street APT A4
,2016-12-01,1714 HANCOCK Lane APT 126
,2016-12-01,2885 RT206
,2016-12-01,2678 RT206
,2016-12-02,2703 MT HOLLY Road SUITE 1
,2016-12-02,240 N US-130 UNIT 5
,2016-12-02,120 ELM Street E8
,2016-12-03,275 GREEN Street 5J3
,2016-12-03,4750 US-295
,2016-12-04,2919 RT206
,2016-12-07,1113 HOSPITAL Drive SUITE 200
,2016-12-08,43 FAWNHOLLOW Road
,2016-12-09,2305 RANCOCAS Road UNKN
,2016-12-09,2919 RT206
,2016-12-09,2692 RT206
,2016-12-11,338 E UNION Street FLR 1
,2016-12-12,120 ELM Street APT T7
,2016-12-12,255 E PEARL Street APT 214
,2016-12-12,120 ELM Street E8
,2016-12-13,200 CAMPBELL Drive SUITE 102
,2016-12-15,2919 RT206
,2016-12-15,351 HIGH Street SUITE 103
,2016-12-16,6 TERRI Lane SUITE 900
,2016-12-17,218 POWDERMILL Lane
,2016-12-17,2305 RANCOCAS Road UNKN
,2016-12-17,240 N US-130 UNIT 4
,2016-12-18,413 LOCUST Avenue APT 1
,2016-12-18,2305 RANCOCAS Road UNKN
,2016-12-18,82 RIDGWAY Drive
,2016-12-18,870 N US-130 APT A 15
,2016-12-19,6 TERRI Lane SUITE 900
,2016-12-19,200 CAMPBELL Drive SUITE 102
,2016-12-19,1001 ARMISTICE Road
,2016-12-20,3 TERRI Lane SUITE 4
,2016-12-21,120 ELM Street E8
,2016-12-21,2501 MT HOLLY Road STORE 113
,2016-12-22,2200 MT HOLLY Road ROOM 13 FLR 1
,2016-12-24,85 CEDAR LANE EXT
,2016-12-25,85 CEDAR LANE EXT
,2016-12-25,2305 RANCOCAS Road UNKN
,2016-12-25,85 CEDAR LANE EXT
,2016-12-25,1701 SALEM Road APT O11
,2016-12-25,4 STONE VILLA
,2016-12-26,51 BENFORD Lane
,2016-12-26,RT541 (MT HOLLY Road)
,2016-12-27,2686 RT206
,2016-12-27,2305 RANCOCAS Road UNKN
,2016-12-27,115 SUNSET Road SUITE 111
,2016-12-28,4 STONE VILLA
,2016-12-28,2305 RANCOCAS Road UNKN
,2016-12-29,6 TERRI Lane SUITE 900
,2016-12-30,4700 US-295
,2016-12-30,VANSCIVER Parkway
,2016-12-31,255 E PEARL Street APT 127
,2017-01-01,2305 RANCOCAS Road UNKN
,2017-01-01,2305 RANCOCAS Road UNKN
,2017-01-04,240 N US-130 UNIT 1
,2017-01-04,651 HIGH Street FLOOR 1
,2017-01-05,27 BISBEE Drive
,2017-01-06,47 STONE VILLA
,2017-01-06,VANSCIVER Parkway
,2017-01-06,2305 RANCOCAS Road UNKN
,2017-01-08,2919 RT206 STR 104
,2017-01-09,46 RIVERBANK
,2017-01-09,1294 COOPER Street B16
,2017-01-09,320 CONROW Street 202
,2017-01-11,651 JFK Way
,2017-01-12,120 ELM Street APT AO-8
,2017-01-12,2678 RT206
,2017-01-13,1020 WOODLANE Road APT 188
,2017-01-13,1701 SALEM Road APT I16
,2017-01-14,4750 US-295
,2017-01-14,49 STONE VILLA
,2017-01-16,4700 US-295
,2017-01-16,5000 US-295
,2017-01-17,JFK Way
,2017-01-18,522 LINDEN Avenue RM 9
,2017-01-19,2919 RT206
,2017-01-19,2919 RT206
,2017-01-19,213 W BROAD Street FLR 1
,2017-01-19,2501 MT HOLLY Road STORE 113
,2017-01-20,413 DELANCO Road SUITE 2
,2017-01-25,4950 US-295
,2017-01-25,120 ELM Street AO7
,2017-01-25,120 ELM Street SH14
,2017-01-25,240 E PEARL Street APT 301
,2017-01-26,2703 MT HOLLY Road SUITE 1
,2017-01-26,120 ELM Street SH49
,2017-01-28,1105 SUNSET Road UNIT J
,2017-01-31,120 ELM Street SH23
,2017-01-31,120 ELM Street E8
,2017-02-01,600 JFK Way
,2017-02-01,114 RIVERBANK
,2017-02-02,120 ELM Street SH5
,2017-02-02,115 SUNSET Road A WING RM 22
,2017-02-03,200 CAMPBELL Drive SUITE 102
,2017-02-05,1304 N US-130 UNIT 2A
,2017-02-05,1306 COOPER Street APT 33
,2017-02-06,120 ELM Street APT AJ03
,2017-02-06,870 N US-130 APT A9
,2017-02-07,11 FLORENCE TOLLGATE Place UNIT 7
,2017-02-08,219 MCNEAL Street
,2017-02-08,2717 RT206
,2017-02-10,5100 US-295
,2017-02-11,RT206
,2017-02-12,120 ELM Street APT AC8
,2017-02-12,3 FAWNHOLLOW Road
,2017-02-13,120 ELM Street APT AN2
,2017-02-17,902 JACKSONVILLE Road RM WEST 218
,2017-02-18,3 STONE VILLA
,2017-02-19,120 ELM Street APT E6
,2017-02-21,115 SUNSET Road SUITE 111
,2017-02-21,1340 HORNBERGER Avenue APT 205
,2017-02-22,303 MCNEAL Street
,2017-02-23,162 CREEKSIDE Way
,2017-02-24,30 LAGORCE Boulevard
,2017-02-24,114 RIVERBANK
,2017-02-25,120 ELM Street APT Q3
,2017-02-25,255 E PEARL Street 221
,2017-02-25,138 RIVERBANK
,2017-02-26,104 WARREN Street APT 2
,2017-02-26,2200 MT HOLLY Road SUITE 3
,2017-02-26,2919 RT206
,2017-02-27,162 CREEKSIDE Way
,2017-02-28,2305 RANCOCAS Road UNKN
,2017-02-28,45 FAWNHOLLOW Road
,2017-02-28,45 FAWNHOLLOW Road
,2017-02-28,651 HIGH Street FLOOR 1
,2017-02-28,45 FAWNHOLLOW Road
,2017-02-28,120 ELM Street SH44
,2017-03-01,255 E PEARL Street APT 501
,2017-03-02,1900 MT HOLLY Road SUITE B
,2017-03-03,415 NJ TURNPIKE ACCESS Road
,2017-03-03,33 VAUGHN Way
,2017-03-08,104 WARREN Street APT 2
,2017-03-09,23 BISBEE Drive
,2017-03-09,5 LAGORCE Boulevard
,2017-03-11,5 LAGORCE Boulevard
